Week,Question #,Question Text,Options,Marked Answer,Issue Category,Problem Description,Severity,Suggested Fix
52,22-25,[MISSING - NOT IN DATA],N/A,N/A,INCOMPLETE WEEK,Week 52 contains only 21 questions instead of required 25. Missing questions 22-25.,CRITICAL,Add 4 more questions to complete the week
28,1,Which is correct?,my name is Sam. | My name is sam. | ...,C,AMBIGUOUS QUESTION,"Question text lacks context - just ""Which is correct?"" Students must infer the topic from options alone.",CRITICAL,"Reword to ""Which shows correct capitalization?"" or similar context"
28,2,Which is correct?,monday | Monday | ...,B,AMBIGUOUS QUESTION,"Question text lacks context - just ""Which is correct?"" Students must infer the topic from options alone.",CRITICAL,"Reword to ""Which shows correct capitalization?"" or similar context"
28,3,Which is correct?,i am happy. | I am happy. | ...,B,AMBIGUOUS QUESTION,"Question text lacks context - just ""Which is correct?"" Students must infer the topic from options alone.",CRITICAL,"Reword to ""Which shows correct capitalization?"" or similar context"
28,22,Which is correct?,indian ocean | Indian Ocean | ...,B,AMBIGUOUS QUESTION,"Question text lacks context - just ""Which is correct?"" Students must infer the topic from options alone.",CRITICAL,"Reword to ""Which shows correct capitalization?"" or similar context"
28,23,Which is correct?,asia | Asia | ...,B,AMBIGUOUS QUESTION,"Question text lacks context - just ""Which is correct?"" Students must infer the topic from options alone.",CRITICAL,"Reword to ""Which shows correct capitalization?"" or similar context"
2,"2, 13, 21",Which is a proper noun?,Various options about proper nouns,C (all three),DUPLICATE IN SAME WEEK,Exact same question appears 3 times in Week 2. Wastes test time and reduces content coverage.,HIGH,"Remove duplicates, keep only 1 version"
2,"10, 23",Which is a countable noun?,Various noun options,Q10: C | Q23: A,INCONSISTENT ANSWERS,Same question appears twice in Week 2 with different answers (C vs A). Creates confusion about correct answer.,CRITICAL,"Verify correct answer and standardize, then remove duplicate"
2,"6, 19",Which is a material noun?,Various material noun options,A (both),DUPLICATE IN SAME WEEK,Same question appears twice in Week 2 (questions 6 and 19).,HIGH,Remove one duplicate
38,"4, 9, 13",The closing sentence:,Various statement options,A (all three),DUPLICATE IN SAME WEEK,Identical question appears 3 times in same week. Reduces content variety.,HIGH,"Keep 1, remove 2 duplicates or create variations"
39,"1, 16",Which is correct?,Multiple options,A (both),DUPLICATE IN SAME WEEK,Question 1 and 16 are identical. Week 39 has 8 duplicated questions out of 25 (32% redundant).,HIGH,Remove duplicates
39,"2, 15",Which is correct?,Multiple options,A (both),DUPLICATE IN SAME WEEK,Question 2 and 15 are identical. Week 39 has 8 duplicated questions out of 25 (32% redundant).,HIGH,Remove duplicates
39,"4, 20",Which is correct?,Multiple options,A (both),DUPLICATE IN SAME WEEK,Question 4 and 20 are identical. Week 39 has 8 duplicated questions out of 25 (32% redundant).,HIGH,Remove duplicates
39,"5, 21","The pronoun ""I"" is always:",Multiple options,A (both),DUPLICATE IN SAME WEEK,Question 5 and 21 are identical. Week 39 has 8 duplicated questions out of 25 (32% redundant).,HIGH,Remove duplicates
51-52,Multiple (14+ pairs),"""He is a:"", ""Under is a:"", ""Quickly is an:"", etc.",Parts of speech options,A (mostly),CROSS-WEEK DUPLICATION,Week 51 and Week 52 share 14+ identical questions. Entire sections of Week 52 duplicate Week 51.,HIGH,Replace Week 52 questions with original content from other topic areas
